id,number of sources it appears,annotation count
84,167,2856198
103,81,144947
118,100,644753
138,34,51469
168,25,480377
169,25,205990
170,31,125640
171,41,139352
172,29,23916
173,29,34528
174,26,133279
175,39,27852
176,25,142868
177,31,74586
178,25,21995
179,44,55685
180,27,495
423,38,12438
428,41,18913
435,26,26738
503,54,160046
780,20,13750
804,19,3198
956,15,936
974,20,44065
1403,47,118171
1411,35,14000
1412,48,397266
1415,48,22024
1423,22,7851
1426,43,29025
1427,43,14989
1432,52,4871135
1433,50,325273
1442,51,78745
1453,25,35712
1647,96,33454
2011,20,14430
2461,20,7943
2590,13,3133
2594,8,1396
2598,4,152
107,48,250842
460,60,3917
1405,30,32793
1408,30,45168
1410,20,8252
1413,29,26904
1414,21,5503
1416,30,9705
1417,30,15622
1424,26,2897
1425,21,4364
1429,30,6759
1431,12,7194
1434,28,58841
1436,25,3848
1437,30,2767
1439,30,4698
1448,16,17940
1454,26,3048
1455,31,571
1459,24,74974
1593,27,52631
1594,27,51985
1596,29,109325
1597,23,4316
1602,23,3707
1603,28,5678
1605,20,2068
1648,19,3062
2089,10,5613
2092,19,1251
82,100,4135700
101,104,924230
167,5,120158
181,7,43340
182,11,958204
463,15,114780
74,47,226309
79,48,64085
81,101,634020
110,22,80397
147,30,22052
183,12,11449
474,19,18484
1781,6,3773
2168,8,15034
2543,21,79562
3123,2,4323
3238,5,11845
3239,6,7752
3240,5,10209
3243,5,1169
3244,5,318
3245,2,8
3246,5,1038
3247,2,379
96,39,294074
102,66,110465
222,55,305688
310,11,40373
311,9,6583
312,9,65431
337,5,658
361,8,750
487,6,232
511,7,764
512,7,539
523,31,34877
526,6,9108
549,5,34433
584,11,36391
978,1,8
994,2,3685
1026,4,13836
1118,1,1
1469,3,414
1487,3,152
1499,2,25552
1540,5,13729
1662,2,34367
1758,3,7
1799,7,491
1853,14,14474
2533,1,1068
2828,3,5064
3395,1,919
3397,1,75
3444,1,23288
3445,1,2759
3446,1,29
3447,1,234
3448,1,8
3449,1,24
3474,1,25
3485,1,578
3486,1,1566
3487,1,702
3489,1,211
3490,1,2638
3491,1,17
3494,1,4
3495,1,5
3496,1,248
3497,1,120
3498,1,34
3501,1,8
3511,1,1469
3512,1,9
3513,1,7
3592,1,54
3593,1,992
3594,1,155
3595,1,19
3596,1,3
3609,1,1
3611,1,22
3612,1,1
3615,1,2159
3616,1,59
3617,1,946
3618,1,233
3619,1,499
3620,1,1007
3622,1,15
3623,1,67
3624,1,88
3629,1,13
3733,1,227
3734,1,22
3735,1,1
3736,1,15
3801,1,5191
3810,1,11
3811,1,91
3812,2,114
3815,1,23
3816,1,10
3822,1,3
4108,1,240
131,19,69857
133,41,40963
322,9,68323
323,7,10443
342,29,3594
440,28,23436
450,40,20277
687,6,5434
1162,30,8172
1163,6,879
2217,10,1384
2416,7,618
438,38,98908
444,40,321206
448,27,9205
508,7,196
1040,6,3310
1457,40,140173
1828,14,815
1848,3,3739
89,24,125621
105,52,144803
124,51,218313
353,8,184
439,26,2143
635,19,25861
638,8,986
1827,23,73348
2182,2,40
2184,2,259
2185,10,3367
2206,2,150
2208,1,68
2214,2,110
2216,4,344
2465,5,187
145,19,616
403,48,79645
434,6,7483
1041,10,417
2464,5,581
2201,9,177
