label_id,label_name,exist_in_source,exist_in_target,annotation_count
1432,EAM: Dead Hard Coral,1,1,4871135
82,Turf,1,1,4135700
84,Sand,1,1,2856198
1348,CRED-Turf growing on hard substrate,1,1,1468571
3438,Hard Substrate,1,1,1166099
182,Dead Substrate,1,1,958204
101,CCA (crustose coralline algae),1,1,924230
118,Unclear,1,1,644753
81,Macroalgae,1,1,634020
83,CCA/Bare Space,1,1,488098
168,Acroporidae (branching),1,1,480377
1412,Acropora corymbose/tabular/plate,1,1,397266
95,Sediment,1,1,350389
801,Substrate: Unconsolidated: Sand/Mud (<2mm),1,1,337408
1340,CRED-CCA growing on hard substrate,1,1,328486
1433,Epilithic algal matirx smotheting rubble,1,1,325273
444,Porites compressa,1,1,321206
222,Shadow,1,1,305688
96,Bare Substrate,1,1,294074
515,Rock,1,1,264129
107,Transect hardware,1,1,250842
524,Rock Rubble,1,1,236131
2099,CREP-T1 Turf algae,1,0,233847
74,Porites,1,1,226309
73,Pocillopora,1,1,221968
1871,ARMS-CREP-CCA,1,1,221571
124,Broken coral rubble,1,1,218313
169,Acroporidae (plate/encrusting),1,1,205990
1741,"Crustose, turf, bare",1,0,201003
1337,CRED-Encrusting macroalgae,1,1,164046
625,Sediment Covered Limestone,1,0,161407
503,Dictyota spp.,1,1,160046
85,Off,1,1,157644
103,All other,1,1,144947
105,Dead coral,1,1,144803
793,Turf growing on hard substrate,1,0,144799
176,Alcyoniidae,1,1,142868
1457,Rubble,1,1,140173
171,Poritidae massive,1,1,139352
516,Fuzz,1,0,134057
174,Favidae-Mussidae massive/meandroid,1,1,133279
184,Coral,1,1,131842
170,Pocilloporidae,1,1,125640
89,Porites lobata,1,1,125621
167,Acroporidae (table/corymbose/digitate),1,0,120158
1403,Calcifying calcareous crustose algae: DHC,1,1,118171
237,Hard Coral (massive),1,0,114920
463,Turf sand,1,1,114780
102,Sponge,1,1,110465
1596,MASE: Porites,1,1,109325
92,Algae,1,1,107906
80,Soft Coral,1,1,106197
70,Montipora,1,1,104108
2644,Sandy Turf,1,0,101386
522,Red Turf,1,1,99869
438,Montipora capitata,1,1,98908
592,Branching Gorgonian,1,0,95775
1374,Pseudodiploria strigosa,1,0,95451
1639,Thin sediment,1,1,94640
3007,Pavement (LOF),1,0,94634
2238,Brown fleshy algae,1,1,94095
1886,ARMS-CREP-No Recruitment,1,1,89084
1826,Substrate attached,1,0,86174
110,Montastrea cavernosa,1,1,80397
403,Halimeda,1,1,79645
2543,Cyanobacteria,1,1,79562
1442,Calcifying algae: Halimeda,1,1,78745
91,Hard coral,1,1,77529
1294,CRED-Montipora spp_encrusting,1,1,75896
1459,Other Soft Corals,1,1,74974
177,Other soft coral,1,1,74586
1827,TAPE,1,1,73348
1852,Porifera,1,0,70114
131,Porites lobata 1,1,1,69857
88,Porites rus,1,1,69451
322,Macroalgae: Encrusting: red,1,1,68323
2093,CREP-T1 Coral,1,0,68040
1887,ARMS-CREP-Unavailable,1,1,67962
312,Macroalgae: Filamentous / filiform : brown,1,0,65431
79,Millepora,1,1,64085
1899,ARMS-CREP-Bryozoan,1,1,63325
143,Cyanobacteria films,1,1,62177
1903,ARMS-CREP-Sponge,1,1,61172
1306,CRED-Porites spp_massive,1,1,60762
1631,Unidentified arborescent bryozoan(substratum),0,1,60740
1911,Rock_Pavement,1,1,60404
1336,CRED-Peyssonnelia spp,1,1,60177
1155,Hydro-bryo complex,1,1,60044
781,Artificial material of experimental setup,1,0,59809
404,Algae matrix,1,1,58952
1434,Common LRG Alcyoniide,1,1,58841
59,Acropora,1,1,58302
2446,Bare/Turf,1,0,57013
1189,Non CCA Crustose Algae,1,1,55766
179,Other sessile invertebrates,1,1,55685
2442,Tile,1,0,55087
204,Acropora (branching),1,1,54143
1349,CRED-Turf growing on rubble,1,1,53483
1354,CRED-Unclassified/Unknown,1,1,53423
1593,MASE: Large Rounded Polyps,1,1,52631
1594,MASE: Small or Invis Polyps,1,1,51985
138,Lobophora,1,1,51469
300,Macroalgae: Large canopy-forming : Ecklonia,1,1,51177
4117,Encrsuting Fleshy Algae,1,0,50294
429,Sargassum sp,1,1,49666
1882,ARMS-CREP-Peyssonnelia spp,1,0,49386
1708,Lithothamnion spp.,1,1,48853
1873,ARMS-CREP-Brown encrusting macroalgae,1,1,48737
2246,Seagrasses: Strap-like leaves: P. australis,1,0,48154
106,Sand and sediment,1,0,47450
2153,Zostera marina,0,1,47295
1400,"Hard substrate white, i.e. limestones",1,0,47289
2549,Brown encrusting alga,1,1,45958
1408,BRA: Acropora Branching,1,1,45168
974,Acroporidae Other,1,1,44065
532,Peyssonnelia,1,0,43420
181,Macroalgae 1,1,1,43340
133,Zoanthid,1,1,40963
310,Macroalgae: Filamentous / filiform : red,1,1,40373
1331,CRED-Halimeda spp,1,1,40158
1586,Macroalgae: Encrusting: calcareous,1,0,38838
1187,Diploria labyrinthiformis,1,0,38303
584,Ulva sp.,1,1,36391
1453,Other Algae,1,1,35712
94,Seagrass,1,1,35189
523,Shell/ Shell Hash,1,1,34877
1370,Orbicella franksi,1,0,34796
814,oceanic sand,1,0,34651
173,Poritidae branching,1,1,34528
549,Hydroid/Bryozoan,1,0,34433
1662,Corallina officinalis (substratum),1,0,34367
292,Sponges:crusts,1,0,33914
1647,Unknown,1,1,33454
1133,"Red algae, crustose coralline",1,0,33345
3535,Palythoa caribaeorum,1,0,33227
1405,Massive or encrusting sponges,1,1,32793
242,Hard Coral (branching),1,0,32754
3122,Unstable Substrate,1,0,32642
1637,Framer,1,1,31909
1295,CRED-Montipora spp_foliose,1,1,31878
1341,CRED-CCA growing on rubble,1,1,29978
2097,CREP-T1 Crustose coralline algae,1,0,29714
1895,ARMS-CREP-Tunicate Colonial,1,1,29611
1426,TFP: Visible Relief Structures,1,1,29025
175,Other hard coral,1,1,27852
1561,Macroalgae: Turf,1,0,27722
1438,EAM: Rock or Substrate,1,0,27478
1413,Porites (branching),1,1,26904
435,Turbinaria (algae),1,1,26738
579,Polyneura latissima,1,1,26671
2101,CREP-T1 Unclassified/Unknown benthos,1,0,26191
1128,"Red algae, unidentified encrusting",1,1,25906
635,Dead coral with algae,1,1,25861
1265,CRED-Foliose hard coral,1,0,25693
1499,Diplosoma listerianum,1,1,25552
2087,Dead Porites massive,1,1,25242
1498,Didemnum vexillum,1,1,25223
1307,CRED-Porites spp_encrusting,1,1,25056
392,Ocomplex,1,1,25023
1342,CRED-Octocoral,1,1,24762
2248,Seagrasses: Strap-like leaves: Z. muelleri,1,0,24660
401,Dictyota,1,1,24564
113,Porites astreoides,1,1,24365
2787,ARMS-Biofilm,1,0,24255
116,Platygyra,1,1,24045
2513,Pavement,1,0,24026
172,Poritidae encrusting,1,1,23916
622,Porites PLating,1,1,23792
1175,XENIIDAE,1,1,23727
440,Montipora patula,1,1,23436
3444,Corynactis carnea,1,0,23288
2473,Red fleshy algae,1,1,22986
2098,CREP-T1 Sediment,1,0,22986
570,Chondracanthus exasperatus,1,0,22515
1905,ARMS-CREP-Sediment,1,0,22356
147,Encrusting sponge,1,1,22052
1415,BRA: Other,1,1,22024
178,Sea fans/plumes,1,1,21995
372,Substrate: Consolidated (hard) Boulders,1,0,21989
72,Pavona,1,1,21962
2100,CREP-T1 Tape/Wand,1,1,21607
369,Substrate: Unconsolidated : pebble/gravel,1,1,20754
1369,Orbicella faveolata,1,0,20488
3453,Obscured,1,0,20357
450,Pocillopora meandrina,1,1,20277
1264,CRED-Encrusting hard coral,1,1,20181
2096,CREP-T1 Macroalgae,1,0,20123
2051,Sinularia,1,1,20040
1004,"Bryozoan, encrusting unidentified",1,1,19585
139,Fleshy algae,1,0,19384
3204,Not root,1,0,19257
1338,CRED-Upright macroalgae,1,1,19185
576,Metridium farcimen,1,0,19145
2366,Concrete,0,1,19117
642,Filamentous Algae,1,1,19096
395,Pseudodiploria,1,1,19065
370,Substrate: Consolidated (hard) Rock,1,0,18978
428,Padina sp,1,1,18913
2454,Turf overgrowing recently dead coral,1,0,18913
567,Balanus crenatus,1,1,18739
474,Siderastrea spp.,1,1,18484
128,Sarcophyton,1,1,18464
1883,ARMS-CREP-Red encrusting macroalgae,1,1,18428
2791,Scuzz,1,0,18261
61,Cyphastrea,1,1,18187
368,Substrate: Unconsolidated (soft): sand/mud,1,0,17947
1448,Filamentous Macroalgae,1,0,17940
381,Dlabyrinthiformis,1,1,17905
473,Occulina sp.,1,0,17874
3186,rubble coral,1,0,17785
2453,Thick turf algae,1,0,17732
1587,Bare Panel,1,1,17676
1802,Gorgoniidae,1,0,17603
1270,CRED-Acropora spp_tabulate,1,1,17540
187,Acropora (tabulate),1,1,17407
3285,Coarse Sand,1,0,17321
631,Non-Acropora massive,1,0,17182
68,Lobophyllia,1,1,17004
2114,Shell hash/Gravel,1,1,16875
1979,Lobophora spp.,1,0,16823
1906,ARMS-CREP-Unclassified/Unknown,1,0,16819
62,Favia,1,1,16364
1902,ARMS-CREP-Octocoral,1,0,16228
556,Soft Coral plumes,1,1,16115
1402,SOFT_SAND,1,0,15756
4114,Substrate: Consolidated (hard),1,0,15733
1644,Gravel,1,0,15671
1417,MASE: Meandering Other,1,1,15622
117,Goniastrea,1,1,15505
461,Water,1,1,15238
326,Macroalgae: Articulated calcareous: red,1,1,15095
2168,Sponge Other,1,1,15034
1427,TFP: Visible Round Corallites,1,1,14989
504,Lobophora variegata,1,0,14961
1352,CRED-Wand,1,1,14873
3053,Watersipora subtorquata,1,0,14748
1853,Bryozoan,1,1,14474
2164,Blurry,1,0,14468
111,Siderastrea siderea,1,1,14463
2011,Cyanobacterium sp.,1,1,14430
1475,Botryllus schlosseri,0,1,14397
1397,Palythoa,1,1,14012
1411,"Acropora digitate, branches resembling finger",1,1,14000
589,Unspecified red algae: Sheet: Thick/Leathery,1,0,13909
1026,Metridium senile,1,1,13836
780,Chlorodesmis sp.,1,1,13750
1540,Mytilus edulis,1,1,13729
578,Plocamium cartilagineum,1,0,13656
1974,Porites massive,1,1,13607
1878,ARMS-CREP-Green upright macroalgae,1,0,13471
1346,CRED-Rubble substrate,1,1,13429
1709,Phymatolithon spp.,0,1,13417
1889,ARMS-CREP-Calcareous Worm Tube,1,1,13329
3080,Dead Agaricia,1,0,13275
1972,Porites horizontalata_rus,1,0,13141
2247,Seagrasses: Elliptical Leaves: H. ovalis,1,0,13044
1638,Thick sediment,1,1,13002
1146,Bare Rock,1,1,12856
533,No Data,1,1,12794
1390,Gorgonia spp.,1,0,12509
641,Microalgae: cyanobacteria,1,1,12491
423,Caulerpa,1,1,12438
3260,Monanchora arbuscula,1,1,12397
2469,Substrate,1,0,12282
1368,Orbicella annularis,1,0,12074
2527,Oysters,1,0,11907
3238,Mussismilia braziliensis,1,1,11845
982,Other invertebrate,1,1,11808
416,Erect gorgonians,1,1,11741
60,Astreopora,1,1,11677
595,Encrusting Hard Coral,1,1,11485
467,Solieria filiformis,1,0,11479
183,Massive Sponge,1,1,11449
2230,Rubble with turf algae,1,1,11223
1592,Soft sediment,1,0,11074
1829,Bivalve,1,1,11070
239,Corals: Stony corals: Encrusting,1,1,10907
1877,ARMS-CREP-Green encrusting macroalgae,1,0,10841
1325,CRED-Red macroalgae,1,1,10551
2474,None,1,0,10527
323,Macroalgae: Encrusting: green,1,1,10443
747,tag/frame/zspar etc,1,1,10435
3240,Mussismilia harttii,1,1,10209
3291,Montipora Plating,0,1,10178
3714,Not colonizable,1,0,10128
1333,CRED-Microdictyon spp,1,0,10115
140,Calcareous algae,1,0,10050
150,Isopora,1,0,9850
983,Faviidae,1,0,9850
2795,ARMS-Clear Biofilm,1,0,9824
588,Unspecified red algae: Sheet: Thin/Membranous,1,0,9791
1416,Branching bleached,1,1,9705
446,Porites evermanni,1,0,9661
1854,Tunicate,1,0,9649
3106,Bushy Soft Coral,1,0,9614
1607,Algae: Other,1,0,9347
63,Fungia,1,1,9270
1327,CRED-Blue-green macroalga,1,1,9269
448,Pocillopora damicornis,1,1,9205
526,Encrusting sponge/ tunicate,1,0,9108
304,Macroalgae: Laminate: brown,1,0,9108
483,Telesto sp.,1,0,8936
115,Favites,1,1,8932
3587,Sedimento grosso,1,0,8922
99,Echinopora,1,1,8872
1458,CCA: On dead coral,1,0,8814
2607,Alcyoniidae Bleached (white),1,1,8640
2546,Other,1,1,8538
2539,Microdictyon spp.,1,0,8529
1885,ARMS-CREP-Coral,1,1,8492
137,Xenia,1,0,8426
321,Macroalgae: Encrusting,1,0,8338
1441,Cyanobacteria on rock or other substrates,1,0,8288
1410,Stylophora (branching),1,1,8252
1162,Echinometra mathaei,1,1,8172
1766,Agaricia tenuifolia,1,0,8167
449,Pocillopora eydouxi,1,0,8161
2461,Benthic Microalgae on Sand,1,1,7943
212,Bleached Montipora,1,0,7914
1423,MASE: Other,1,1,7851
3239,Mussismilia hispida,1,1,7752
1999,Galaxura rugosa,1,0,7747
2108,Halophila stipulacea,1,0,7711
566,Agarum fimbriatum,1,0,7681
1308,CRED-Porites spp_foliose,1,1,7613
66,Leptastrea,1,1,7610
3385,Kelp,1,0,7494
132,Porites cylindrica,1,1,7493
434,Gracilaria salicornia,1,1,7483
1159,"Barnacle, dead",1,1,7479
1627,Strongylocentrotus droebachiensis,0,1,7426
1962,Goniastrea stelligera,1,0,7278
1357,Agaricia agaricites,1,1,7264
3215,Demospongiae,1,0,7256
1260,Diadema setosum,1,0,7245
151,Lobophyton/Sinularia,1,0,7215
1061,"Sponge, unidentified",1,0,7213
1431,Fishing gear,1,0,7194
1704,Loose Substrate: Sediment,1,0,7151
119,Bleached Hard Coral,1,1,7135
458,Pseudodiploria bleached,1,1,7130
1049,Rubble/debris/shell hash,1,1,7091
505,Zonaria tournefortii,1,0,7075
1697,Unidentified red blade (substratum),0,1,7065
554,Hydnophora,1,1,7045
782,Stylophora pistillata,1,0,7007
2233,Hard Coral Coverage,1,0,6885
377,Agaricia/Undaria,1,1,6852
185,Stylophora,1,1,6815
1429,"Non hermatypic: Free living (Fungia, etc)",1,1,6759
2235,Algal Turf,1,1,6746
2792,Miscellaneous algae,1,0,6717
602,Acropora (digitate),1,1,6716
1714,Unidentified red fleshy crust,0,1,6691
629,Non-Acropora encrusting,1,0,6662
1891,ARMS-CREP-Foraminifera,1,1,6661
3546,Rodolito Vivo,0,1,6606
311,Macroalgae: Filamentous / filiform : green,1,1,6583
402,Lvariegata,1,1,6514
2451,Pseudopterogorgia sp.,1,0,6492
