id,number of sources it appears,annotation count
1432,52,4871135
82,100,4135700
84,167,2856198
1348,19,1468571
3438,4,1166099
182,11,958204
101,104,924230
118,100,644753
81,101,634020
83,6,488098
168,25,480377
1412,48,397266
95,26,350389
801,5,337408
1340,19,328486
1433,50,325273
444,40,321206
222,55,305688
96,39,294074
515,57,264129
107,48,250842
524,18,236131
2099,4,233847
74,47,226309
73,48,221968
1871,9,221571
124,51,218313
169,25,205990
1741,4,201003
1337,14,164046
625,3,161407
503,54,160046
85,8,157644
103,81,144947
105,52,144803
793,3,144799
176,25,142868
1457,40,140173
171,41,139352
516,6,134057
174,26,133279
184,30,131842
170,31,125640
89,24,125621
167,5,120158
1403,47,118171
237,13,114920
463,15,114780
102,66,110465
1596,29,109325
92,18,107906
80,44,106197
70,43,104108
2644,7,101386
522,9,99869
438,38,98908
592,3,95775
1374,8,95451
1639,6,94640
3007,1,94634
2238,3,94095
1886,10,89084
1826,1,86174
110,22,80397
403,48,79645
2543,21,79562
1442,51,78745
91,22,77529
1294,13,75896
1459,24,74974
177,31,74586
1827,23,73348
1852,18,70114
131,19,69857
88,22,69451
322,9,68323
2093,2,68040
1887,11,67962
312,9,65431
79,48,64085
1899,9,63325
143,23,62177
1903,10,61172
1306,12,60762
1631,1,60740
1911,12,60404
1336,9,60177
1155,2,60044
781,3,59809
404,5,58952
1434,28,58841
59,45,58302
2446,2,57013
1189,4,55766
179,44,55685
2442,2,55087
204,18,54143
1349,18,53483
1354,19,53423
1593,27,52631
1594,27,51985
138,34,51469
300,6,51177
4117,1,50294
429,22,49666
1882,6,49386
1708,2,48853
1873,10,48737
2246,2,48154
106,4,47450
2153,1,47295
1400,4,47289
2549,3,45958
1408,30,45168
974,20,44065
532,25,43420
181,7,43340
133,41,40963
310,11,40373
1331,12,40158
1586,2,38838
1187,11,38303
584,11,36391
1453,25,35712
94,20,35189
523,31,34877
1370,11,34796
814,1,34651
173,29,34528
549,5,34433
1662,2,34367
292,6,33914
1647,96,33454
1133,4,33345
3535,1,33227
1405,30,32793
242,9,32754
3122,1,32642
1637,4,31909
1295,12,31878
1341,21,29978
2097,3,29714
1895,11,29611
1426,43,29025
175,39,27852
1561,3,27722
1438,4,27478
1413,29,26904
435,26,26738
579,2,26671
2101,2,26191
1128,7,25906
635,19,25861
1265,8,25693
1499,2,25552
2087,3,25242
1498,3,25223
1307,11,25056
392,2,25023
1342,12,24762
2248,2,24660
401,19,24564
113,18,24365
2787,5,24255
116,31,24045
2513,2,24026
172,29,23916
622,4,23792
1175,5,23727
440,28,23436
3444,1,23288
2473,8,22986
2098,2,22986
570,1,22515
1905,8,22356
147,30,22052
1415,48,22024
178,25,21995
372,2,21989
72,35,21962
2100,10,21607
369,6,20754
1369,12,20488
3453,1,20357
450,40,20277
1264,13,20181
2096,2,20123
2051,11,20040
1004,5,19585
139,12,19384
3204,1,19257
1338,13,19185
576,1,19145
2366,1,19117
642,9,19096
395,5,19065
370,8,18978
428,41,18913
2454,8,18913
567,4,18739
474,19,18484
128,20,18464
1883,8,18428
2791,1,18261
61,27,18187
368,1,17947
1448,16,17940
381,5,17905
473,7,17874
3186,1,17785
2453,7,17732
