id,name,ann_count,label_valid,
58,Acanthastrea,1012,1,
59,Acropora,58302,1,
60,Astreopora,11677,1,
61,Cyphastrea,18187,1,
62,Favia,16364,1,
63,Fungia,9270,1,
64,Gardineroseris,663,1,
65,Herpolitha,477,1,
66,Leptastrea,7610,,
67,Leptoseris,5652,,
68,Lobophyllia,17004,,
69,Montastrea,2207,,
70,Montipora,104108,,
71,Pachyseris,1375,,
72,Pavona,21962,,
73,Pocillopora,221968,,
74,Porites,226309,,
75,Psammocora,2500,,
76,Sandolitha,184,,
77,Stylocoeniella,811,,
78,Tubastrea,104,,
79,Millepora,64085,,
80,Soft Coral,106197,ambiguous,
81,Macroalgae,634020,,
82,Turf,4135700,,
83,CCA/Bare Space,488098,Might be duplicated of CCA?,
84,Sand,2856198,,
85,Off,157644,?,
87,Blastomussa,365,,
88,Porites rus,69451,,
89,Porites lobata,125621,,
90,Porites irregularis,895,,
91,Hard coral,77529,ambiguous,
92,Algae,107906,,
93,Non hard coral invertebrates,53,,
94,Seagrass,35189,,
95,Sediment,350389,,
96,Bare Substrate,294074,,
97,Non-Bio,165,ambiguous,
98,Mobile invertebrates,2263,,
99,Echinopora,8872,,
100,Other scleractinians,4064,ambiguous,
101,CCA (crustose coralline algae),924230,Might be duplicated of CCA?,
102,Sponge,110465,,
103,All other,144947,?,
104,Octocorallia,912,,
105,Dead coral,144803,?,
106,Sand and sediment,47450,Might be duplicated of Sand?,
107,Transect hardware,250842,,
108,Meandroid (brain) corals,732,,
109,Agariciidae,3379,,
110,Montastrea cavernosa,80397,,
111,Siderastrea siderea,14463,,
112,Montastrea franksii,350,,
113,Porites astreoides,24365,,
114,Stephanocoenia michellini,100,,
115,Favites,8932,,
116,Platygyra,24045,,
117,Goniastrea,15505,,
118,Unclear,644753,ambiguous,
119,Bleached Hard Coral,7135,ambiguous,
120,Lantana,38,,
121,Grass,161,?,
122,Other Weed,16,?,
123,Ground,231,,
124,Broken coral rubble,218313,,
125,Acropora formosa,5306,,
126,Acropora millepora,115,,
127,Acropora hyacinthus,0,,
128,Sarcophyton,18464,,
129,Acropora humilis,9,,
130,Goniopora,1747,,
131,Porites lobata 1,69857,,
132,Porites cylindrica,7493,,
133,Zoanthid,40963,,
134,Corallimorpharian,1965,,
136,Cladiella,583,,
137,Xenia,8426,,
138,Lobophora,51469,,
139,Fleshy algae,19384,,
140,Calcareous algae,10050,,
142,Recent dead coral,1842,,
